Study ID,Geographical location,PET participants,MRI participants,Average Age (Years),Male,Female,Caucasian,Black,African-American,Asian,Other,Not specified,Asian American,Middle Eastern,Carribean,Jewish,Caucasian-Hispanic
1,Montreal,26,26,27.1,26,,,,,,,,,,,,
2,Montreal,,8,,4,4,,,,,,,,,,,
3,Montreal,,9,,,,,,,,,,,,,,
4,Montreal,13,13,,,,,,,,,,,,,,
5,Montreal,,25,62.5,20,5,,,,,,,,,,,
6,Montreal,,20,29.6,10,10,,,,,,,,,,,
7,Montreal,,5,,,,,,,,,,,,,,
8,Montreal,,35,29.5,17,18,,,,,,,,,,,
9,Montreal,,37,,,,,,,,,,,,,,
10,Montreal,,84,,,71,,,,,,,,,,,
11,Montreal,,6,25.3,1,5,,,,,,,,,,,
12,Montreal,,9,28.1,4,5,,,,,,,,,,,
13,Montreal,26,,27.1,26,,,,,,,,,,,,
14,Montreal,,47,24.8,26,21,,,,,,,,,,,
15,Montreal,,32,33,14,17,,,,,,,,,,,
16,Montreal,,2,,,,8,,,,,,,,,,
17,Montreal,,18,29.1,10,8,,,,,,,,,,,
18,Montreal,,1,42.2,,,,,,,,,,,,,
19,Montreal,,31,31.8,15,16,26,,,,,,,,,,
20,Montreal,,156,29.8,,,,,,,,,,,,,
21,Montreal,,55,,24,31,,,,,,,,,,,
22,Montreal,,8,30,5,3,,,,,,,,,,,
23,Montreal,,20,35.5,14,6,,,,,,,,,,,
24,Montreal,,77,,,,,,,,,,,,,,
25,Montreal,,17,25.6,10,7,,,,,,,,,,,
26,Montreal,,14,24.9,4,10,,,,,,,,,,,
27,Montreal,,15,35,1,14,,,,,,,,,,,
28,Montreal,,10,23.5,10,,10,,,,,,,,,,
29,Montreal,12,12,67.1,6,6,,,,,,,,,,,
30,Montreal,,160,0.75,87,73,,,,,,,,,,,
31,Montreal,,11,27.9,5,6,,,,,,,,,,,
32,Montreal,,65,64.9,48,17,,,,,,,,,,,
33,Sherbrooke,,35,27.5,12,23,,,,,,,,,,,
34,Montreal,,,,,,,,,,,,,,,,
35,Montreal,,14,21.88,10,4,,,,,,,,,,,
36,Montreal,,17,23.1,8,9,,,,,,,,,,,
37,Montreal,,11,32.3,7,4,,,,,,,,,,,
38,Montreal,38,38,,,,,,,,,,,,,,
39,Montreal,,44,34.5,18,26,,,,,,,,,,,
40,Montreal,,74,32.1,34,40,,,,,,,,,,,
41,Montreal,,36,,,,,,,,,,,,,,
42,Montreal,42,42,34.5,30,12,,,,,,,,,,,
43,Quebec City,28,,59.3,15,13,,,,,,,,,,,
44,Montreal,10,10,,5,5,,,,,,,,,,,
45,Montreal,,17,25.9,7,10,,,,,,,,,,,
46,Montreal,,12,7.9,,,,,,,,,,,,,
47,Montreal,,38,34,21,17,,,,,,,,,,,
48,Montreal,,15,47,9,6,,,,,,,,,,,
49,Montreal,,16,,8,8,,,,,,,,,,,
50,Quebec City,,100,65,49,51,,,,,,,,,,,
51,Montreal,,14,25.4,5,9,,,,,,,,,,,
52,Montreal,,12,32.7,,,,,,,,,,,,,
53,Montreal,,45,35,20,25,,,,,,,,,,,
54,Quebec City,5,6,47,,,,,,,,,,,,,
55,Montreal,,64,23.5,,,,,,,,,,,,,
56,Montreal,,180,,,,,,,,,,,,,,
57,Quebec City,,19,67.5,15,4,,,,,,,,,,,
58,Sherbrooke,,14,26,9,5,,,,,,,,,,,
59,Montreal,,62,,,,,,,,,,,,,,
60,Montreal,,12,22,7,5,,,,,,,,,,,
61,Montreal,,162,34,59,103,,,,,,,,,,,
62,Montreal,,20,24.8,11,9,,,,,,,,,,,
63,Montreal,,34,34,10,24,,,,,,,,,,,
64,Montreal,,26,32,,,,,,,,,,,,,
65,Montreal,,180,57,109,71,,,,,,,,,,,
66,Montreal,,14,24,9,5,,,,,,,,,,,
67,Montreal,,50,23.9,26,24,,,,,,,,,,,
68,Montreal,,46,,29,17,,,,,,,,,,,
69,Montreal,,14,42.8,7,7,,,,,,,,,,,
70,Montreal,12,12,22.5,6,6,,,,,,,,,,,
71,Montreal,,99,34,47,52,,,,,,,,,,,
72,Trois-Rivières,,23,24,,,,,,,,,,,,,
73,Montreal,,32,23.6,13,19,,,,,,,,,,,
74,Quebec City,,14,24.5,9,5,,,,,,,,,,,
75,Montreal,,12,29,4,8,,,,,,,,,,,
76,Montreal,,9,,5,4,,,,,,,,,,,
77,Montreal,,29,22.9,29,,,,,,,,,,,,
78,Montreal,,17,31,13,4,,,,,,,,,,,
79,Montreal,,69,34,33,36,,,,,,,,,,,
80,Montreal,,14,,5,9,,,,,,,,,,,
81,Montreal,,13,36,4,9,,,,,,,,,,,
82,Montreal,,47,26.4,20,27,,,,,,,,,,,
83,Montreal,,151,13.5,69,82,,,,,,,,,,,
84,Montreal,,53,,14,39,,,,,,,,,,,
85,Montreal,,30,70.07,9,21,,,,,,,,,,,
86,Montreal,,17,36,8,9,,,,,,,,,,,
87,Montreal,,5,28.8,,5,,,,,,,,,,,
88,Montreal,,12,,,,,,,,,,,,,,
89,Montreal,,7,,3,4,,,,,,,,,,,
90,Montreal,,17,6.1,9,8,,,,,,,,,,,
91,Montreal,,24,10.6,14,10,17,,,,,,,,,,
92,Montreal,7,7,50,2,5,,,,,,,,,,,
93,Montreal,,22,32.95,11,11,,,,,,,,,,,
94,Montreal,,128,46.96,43,85,,,,,,,,,,,
95,Montreal,,29,> 0.69,,,,,,,,,,,,,
96,Montreal,8,8,23.75,4,4,,,,,,,,,,,
97,Montreal,,57,33.25,31,26,,,,,,,,,,,
98,Quebec City,41,,63,,,,,,,,,,,,,
99,Montreal,,122,,85,37,,,,,,,,,,,
100,Montreal,,18,29.1,10,8,,,,,,,,,,,
101,Montreal,11,11,22.2,10,1,,,,,,,,,,,
102,Montreal,,44,38.1,21,23,,,,,,,,,,,
103,Montreal,10,10,28.1,5,5,,,,,,,,,,,
104,Montreal,,17,,,,,,,,,,,,,,
105,Montreal,,13,23.3,6,7,,,,,,,,,,,
106,Montreal,,49,,49,,,,,,,,,,,,
107,Montreal,,8,26.1,2,6,,,,,,,,,,,
108,Montreal,,149,33.75,70,79,,,,,,,,,,,
109,Montreal,,132,,68,64,,,,,,,,,,,
110,Montreal,,21,23.05,,,,,,,,,,,,,
111,Montreal,,34,,,,,,,,,,,,,,
112,Montreal,,5,,,,,,,,,,,,,,
113,Montreal,,94,,,,,,,,,,,,,,
114,Montreal,,20,10.2,16,4,,,,,,,,,,,
115,Sherbrooke,,20,,13,7,,,,,,,,,,,
116,Sherbrooke,,15,20.5,5,10,,,,,,,,,,,
117,Montreal,,30,27.9,17,13,,,,,,,,,,,
118,Montreal,6,,22,6,,,,,,,,,,,,
119,Montreal,22,18,35,11,14,,,,,,,,,,,
120,Montreal,11,11,,5,6,,,,,,,,,,,
121,Montreal,,32,,,,,,,,,,,,,,
122,Montreal,35,35,,,,,,,,,,,,,,
123,Montreal,,15,28.8,,,,,,,,,,,,,
124,Montreal,,46,32,,,,,,,,,,,,,
125,Montreal,,69,32.5,29,40,,,,,,,,,,,
126,Montreal,,14,22.14,,14,,,,,,,,,,,
127,Montreal,,121,56.5,73,48,,,,,,,,,,,
128,Montreal,,24,44,6,18,,,,,,,,,,,
129,Quebec City,,33,19.17,17,16,31,,,,,,,,,,
130,Montreal,,180,,68,112,123,,,,57,,,,,,
131,Montreal,14,14,22.07,,14,,,,,,,,,,,
132,Montreal,,130,31.5,,,,,,,,,,,,,
133,Montreal,,12,,5,7,,,,,,,,,,,
134,Montreal,,15,24.95,,,,,,,,,,,,,
135,"Montreal, Sherbrooke, Quebec City",,62,67.6,42,20,,,,,,,,,,,
136,Montreal,,9,57.1,,,,,,,,,,,,,
